ID,Question,Answer
4.4.10,"Fill in the blank: A _______ button is used to submit form data, whereas a button of type ""button"" is typically used with JavaScript for other actions.",submit
4.5.1,"Multiple Choice: What styling property is used to ensure all labels have the same width and margin in forms?
- (A) width: 100%;
- (B) display: inline-block;
- (C) text-align: center;
- (D) display: flex;",(B) display: inline-block;
4.5.2,"Fill in the blank: To improve the appearance of a button and provide a visual cue that it is pressable, change the default mouse cursor to a __________ icon.",pointer
4.5.3,"Multiple Choice: Which CSS property and value set is used to make the border of input fields look softer?
- (A) border: 2px solid #000;
- (B) border: 1px dashed #aaa;
- (C) border: 1px solid #aaa; border-radius: 4px;
- (D) border: 3px double #ccc;",(C) border: 1px solid #aaa; border-radius: 4px;
4.5.4,Short Answer: What CSS rule would you add to make the labels of input elements right-aligned in a form?,text-align: right;
4.5.5,"Multiple Choice: When styling forms, what CSS selector is used to consistently style text inputs, email inputs, and drop-down menus?
- (A) input[type=text], input[type=email], select
- (B) input, textarea, button
- (C) input[type=button], select, textarea
- (D) fieldset, legend, label","(A) input[type=text], input[type=email], select"
4.5.6,"Multiple Answers: What visual cues help a user know that a blue rectangle with ""Register"" is a button?
- The button has rounded corners.
- The pointer icon appears when hovering over the button.
- The button has a thick border.
- The button color changes when hovering.",The button has rounded corners.; The pointer icon appears when hovering over the button.; The button color changes when hovering.
4.5.7,"Multiple Choice: What CSS property should be set to improve the usability of labels as clickable elements in forms?
- (A) cursor: crosshair;
- (B) cursor: pointer;
- (C) cursor: default;
- (D) cursor: wait;",(B) cursor: pointer;
4.5.8,"Fill in the blank: To create custom radio buttons, the content before the label is displayed as a single empty space within a __________ border.",circular
4.5.9,"Multiple Choice: Which property/value setting hides traditional browser radio buttons?
- (A) visibility: hidden;
- (B) appearance: none;
- (C) display: none;
- (D) opacity: 0;",(B) appearance: none;
4.5.10,Short Answer: How do you style an input field to have a red border indicating an error when the input is invalid?,Use the selector input:invalid { border: 2px solid red; }.
4.6.1,"Multiple Choice: Which HTML element is used to include JavaScript code within an HTML document?
- (A) <style>
- (B) <script>
- (C) <link>
- (D) <div>",(B) <script>
4.6.2,Fill in the blank: The Document Object Model (DOM) is created from a document's ______.,HTML
4.6.3,Short Answer: What method is used in JavaScript to output HTML into the document and alter the DOM?,document.writeln()
4.6.4,"Multiple Choice: Which window object property is useful for determining if the webpage is loaded with HTTPS or HTTP?
- (A) window.location
- (B) window.navigator
- (C) window.innerHeight
- (D) window.innerWidth",(A) window.location
4.6.5,"Multiple Answers: Which window object methods can display a dialog box to the user? (Select all that apply)
- (A) window.alert()
- (B) window.confirm()
- (C) window.open()
- (D) console.log()","(A) window.alert(), (B) window.confirm()"
4.6.6,"Multiple Choice: In the console object, which method is used to display errors?
- (A) console.log()
- (B) console.warn()
- (C) console.error()
- (D) console.dir()",(C) console.error()
4.6.7,Fill in the Blank: Minified JavaScript is typically stored in a file with a ______ file extension.,""".min.js"""
4.6.8,"Short Answer: What JavaScript attribute allows the browser to load the webpage concurrently with loading the JavaScript, but not process the JavaScript until the webpage is completely loaded?",defer
4.6.9,"Multiple Choice: Which attribute, when used with the <script> tag, causes the browser to continue reading HTML without waiting for the JavaScript file to load?
- (A) defer
- (B) type
- (C) async
- (D) src",(C) async
4.6.10,Short Answer: Describe the process of minification in JavaScript.,"Minification is the process of removing unnecessary characters (like whitespace and comments) from JavaScript code so the code executes the same but with fewer characters, often renaming identifiers into shorter ones to reduce space."
4.7.1,"Multiple Choice: What is the root node of a DOM tree created from the HTML document?
- (A) <title>
- (B) <body>
- (C) <html>
- (D) <head>",(C) <html>
4.7.2,"Multiple Answers: Which of the following nodes can be a child node in a DOM tree?
- (A) Element node
- (B) Attribute node
- (C) Text node
- (D) Root node","(A) Element node, (C) Text node"
4.7.3,"Fill in the Blank: In the DOM, an __________ node represents the textual content within an element.",Text
4.7.4,"Short Answer: How many child nodes can an 'ol' element have if it contains the list items <li>Gold</li>, <li>Silver</li>, and <li>Bronze</li>?",3
4.7.5,"Multiple Choice: Which DOM method returns a single node rather than an array?
- (A) document.getElementsByTagName
- (B) document.querySelectorAll
- (C) document.getElementById
- (D) document.getElementsByClassName",(C) document.getElementById
4.7.6,"Multiple Choices: Which of the following HTMLCollection methods would you use to access the first element in a search? 
- (A) length()
- (B) querySelector()
- (C) [0]
- (D) item()",(C) [0]
4.7.7,Fill in the Blank: The __________ property gets or sets a DOM node’s text content without HTML tags.,textContent
4.7.8,"Multiple Choice: What DOM method would you use to remove an element’s attribute?
- (A) removeAttribute
- (B) setAttribute
- (C) getAttribute
- (D) modifyAttribute",(A) removeAttribute
4.7.9,"Short Answer: Which attribute of the script tag makes sure that the script in ""dom.js"" executes only after the parsing of the webpage?",defer
4.7.10,"Multiple Choice: By modifying the 'innerHTML' property, you can:
- (A) Only retrieve textual content
- (B) Set or get both the content and the structure of a node
- (C) Retrieve attribute values
- (D) Delete a node",(B) Set or get both the content and the structure of a node
4.8.1,"Multiple Choice: Which DOM property refers to the node's parent?
- (A) children
- (B) childNodes
- (C) parentNode
- (D) nextElementSibling",(C) parentNode
4.8.2,"Multiple Answer: Which of the following are properties used to access a node's sibling nodes in the DOM? (Select all that apply.)
- (A) previousElementSibling
- (B) nextElementSibling
- (C) parentNode
- (D) children","(A) previousElementSibling, (B) nextElementSibling"
4.8.3,"Fill in the Blank: The method ________ is used to create a new text node containing specified text in the DOM.
- createTextNode()",createTextNode()
4.8.4,"Multiple Choice: What does the children property of a DOM node contain?
- (A) All the node's children, including whitespace text nodes
- (B) Only the element nodes that are the node's children
- (C) Text nodes only
- (D) Sibling nodes",(B) Only the element nodes that are the node's children
4.8.5,"Short Answer: How do you create a new DOM element node using JavaScript?
Answer: Use the createElement() method with the name of the desired element as the argument.",Use the createElement() method with the name of the desired element as the argument.
4.8.6,"Multiple Choice: Which method is used to remove a node from the DOM?
- (A) appendChild()
- (B) cloneNode()
- (C) removeChild()
- (D) insertBefore()",(C) removeChild()
4.8.7,"Fill in the Blank: To append a new child node to an existing node in the DOM, you use the ________ method.
- appendChild()",appendChild()
4.8.8,"Multiple Answer: Which methods can modify the DOM structure by changing node locations? (Select all that apply.)
- (A) appendChild()
- (B) insertBefore()
- (C) removeChild()
- (D) querySelector()","(A) appendChild(), (B) insertBefore(), (C) removeChild()"
4.8.9,"Multiple Choice: Which method should be used to insert a DOM node before an existing child node?
- (A) appendChild()
- (B) insertBefore()
- (C) cloneNode()
- (D) createElement()",(B) insertBefore()
4.8.10,"Short Answer: What argument does the cloneNode() method take to determine if it should also clone the node's children?
Answer: A boolean argument (true or false).",A boolean argument (true or false).
4.9.1,"Multiple Choice: What term describes a programming style where code runs only in response to specific events?
- (A) Synchronous programming
- (B) Event-driven programming
- (C) Procedural programming
- (D) Object-oriented programming",(B) Event-driven programming
4.9.2,"Multiple Choice: Which of the following events is NOT typically involved in the event capturing or bubbling phases?
- (A) Blur
- (B) Focus
- (C) Click
- (D) Load",(D) Load
4.9.3,"Fill in the Blank: In JavaScript, the method used to stop the default behavior of an event is called __________.",preventDefault()
4.9.4,"Short Answer: What does the term ""event handler"" refer to in web development?","An event handler is a piece of code that runs in response to a specific event occurring on a webpage, such as a user action or a network response."
4.9.5,"Multiple Choice: Which of these HTML tags is commonly used to embed an event handler in the document directly?
- (A) <p onclick=""myFunction()"">
- (B) <p>
- (C) <div>
- (D) <button>","(A) <p onclick=""myFunction()"">"
4.9.6,"Multiple Answers: Which of the following are events for which web developers might write event handlers? (Select all that apply)
- (A) Click
- (B) Keydown
- (C) Input
- (D) Resize","(A) Click, (B) Keydown, (C) Input"
4.9.7,Fill in the Blank: The __________ event is triggered when the user's input value is modified in an input or textarea element.,Input
4.9.8,"Multiple Choice: When registering an event handler using addEventListener, what does the optional third parameter control?
- (A) Whether the event handler is asynchronous
- (B) Whether the event is handled during the capturing or bubbling phase
- (C) The type of event to listen for
- (D) The priority of event handling",(B) Whether the event is handled during the capturing or bubbling phase
4.9.9,Short Answer: How does the addEventListener() method differ from setting the DOM node event handler property directly?,"The addEventListener() method allows for multiple handlers for a single event on an element and keeps content and functionality separate, unlike setting the DOM node event handler property directly, which only allows one handler."
4.9.10,"Fill in the Blank: In HTML, the attribute used to register a handler that adds ""on"" to the event name, such as ""onmousemove"", is known as a(n) __________.",Event attribute
5.1.1,"Multiple Choice: Which protocol is responsible for the foundational data transfer in HTTP?
- (A) UDP
- (B) TCP/IP
- (C) FTP
- (D) SMTP",(B) TCP/IP
5.1.2,"Multiple Choice: What primarily distinguishes HTTP/3 from HTTP/2?
- (A) HTTP/3 uses TCP for data transfer.
- (B) HTTP/3 uses UDP for data transfer.
- (C) HTTP/3 is more secure than HTTP/2.
- (D) HTTP/3 introduces a new method for caching data.",(B) HTTP/3 uses UDP for data transfer.
5.1.3,"Short Answer: Before an HTTP communication begins, what does a web browser perform using the domain name extracted from the URL?",DNS lookup
5.1.4,"Multiple Choice: What role does DNS play in the domain name resolution process?
- (A) Converts IP addresses to hostnames
- (B) Converts hostnames to IP addresses
- (C) Ensures secure transmission of data
- (D) Encrypts web traffic",(B) Converts hostnames to IP addresses
5.1.5,"Multiple Choice: Which part of an HTTP request or response specifies additional information with keywords?
- (A) Start line
- (B) Header fields
- (C) Message body
- (D) DNS lookup",(B) Header fields
5.1.6,"Multiple Answers: Which of the following HTTP request methods can be used to change or update an existing resource on the web server? (Choose all that apply)
- (A) GET
- (B) POST
- (C) PATCH
- (D) PUT
- (E) DELETE","(C) PATCH, (D) PUT, (E) DELETE"
5.1.7,Fill in the Blank: An HTTP response with the status code 404 indicates that the requested resource _______________.,could not be located
5.1.8,"Fill in the Blank: In the request URL https://en.wikipedia.org/wiki/World_Wide_Web, ""wikipedia.org"" is referred to as the ____________.",hostname
5.1.9,"Multiple Choice: What HTTP response status code indicates that the resource should be requested at a different URL permanently?
- (A) 302
- (B) 307
- (C) 301
- (D) 200",(C) 301
5.1.10,Short Answer: What is the purpose of an ETag in HTTP communications?,"An ETag is an identifier for a specific version of a web resource, used to determine if a cached version of the resource is the same as that on the server."
5.2.1,"Multiple Choice: Which of the following is not a basic JSON data type?
- (A) String
- (B) Object
- (C) Function
- (D) Array",(C) Function
5.2.2,"Fill in the Blank: JSON is an efficient, structured format for data based on a subset of the ___________ language.",JavaScript
5.2.3,"Multiple Choice: Which method in JavaScript is used to convert a JSON string into a JavaScript object?
- (A) JSON.convert()
- (B) JSON.stringify()
- (C) JSON.parse()
- (D) JSON.read()",(C) JSON.parse()
5.2.4,Short Answer: What is the purpose of the JSON.stringify() method in JavaScript?,The JSON.stringify() method in JavaScript is used to convert a JavaScript object into a JSON string.
5.2.5,"Multiple Answers: Select all data types that can be represented in JSON.
- [ ] Date
- [X] Boolean
- [X] Number
- [X] String
- [ ] Function
- [X] Object","Boolean, Number, String, Object"
5.2.6,"Fill in the Blank: In JSON, a __________ is an unordered list of zero or more name/value pairs separated by commas and enclosed within braces ({}).",Object
5.2.7,"Multiple Choice: What will the following code display in the console?
```javascript
let jsonStr = '{""name"":""Alice"",""age"":30}';
let jsonObj = JSON.parse(jsonStr);
console.log(""Name: "" + jsonObj.name);
```
- (A) Name: {""name"":""Alice"",""age"":30}
- (B) Name: Alice
- (C) Undefined
- (D) Error",(B) Name: Alice
5.2.8,"Multiple Choice: Which of the following is the correct JSON representation of an array?
- (A) { ""colors"": ""red"", ""blue"", ""green"" }
- (B) [ ""red"", ""blue"", ""green"" ]
- (C) { ""colors"": [""red"", ""blue"", ""green""] }
- (D) ""colors"": [ ""red"", ""blue"", ""green"" ]","(C) { ""colors"": [""red"", ""blue"", ""green""] }"
5.2.9,Short Answer: How can you prevent JSON.stringify() from converting non-enumerable or function properties in an object?,"By not including them in the object passed to JSON.stringify(), as it only serializes enumerable properties and ignores functions."
5.2.10,Fill in the Blank: A common error when generating JSON programmatically is to include a trailing __________ after the list of name/value pairs in a JSON object or after the list of JSON values in a JSON array.,comma
5.3.1,"Multiple Choice: What is the primary benefit of using Ajax for web applications?
- (A) Synchronous updates to webpages
- (B) Asynchronous communication with a server, allowing webpage updates without reloading
- (C) Using XML as the only format for server communication
- (D) Enhanced security for cross-origin requests","(B) Asynchronous communication with a server, allowing webpage updates without reloading"
5.3.2,Fill in the blank: The object used for communicating with web servers using Ajax is __________.,XMLHttpRequest
5.3.3,"Multiple Choice: When an XMLHttpRequest successfully completes, which event handler is triggered?
- (A) abort
- (B) timeout
- (C) load
- (D) error",(C) load
5.3.4,"Multiple Choice: Which HTTP status code indicates that the requested resource was not found?
- (A) 200
- (B) 301
- (C) 403
- (D) 404",(D) 404
5.3.5,Short Answer: Explain the purpose of the `encodeURIComponent` function in the Ajax request example.,"The `encodeURIComponent` function encodes special characters in a URL, ensuring that the query string is correctly formatted."
5.3.6,"Multiple Answers: Which of the following are valid MIME types that might be set with `xhr.setRequestHeader(""Content-Type"", ...)` when sending Ajax requests? Select all that apply.
- (A) application/json
- (B) text/html
- (C) application/x-www-form-urlencoded
- (D) image/jpeg","(A) application/json, (C) application/x-www-form-urlencoded, (D) image/jpeg"
5.3.7,"Multiple Choice: In event-driven programming with the XMLHttpRequest object, what is the role of the `addEventListener` method?
- (A) To pause pending requests
- (B) To initiate server requests
- (C) To define handlers for specific events
- (D) To handle cross-origin restrictions",(C) To define handlers for specific events
5.3.8,"Code Snippet: In the given JavaScript, identify what the XMLHttpRequest's `open` method is doing.

```javascript
let xhr = new XMLHttpRequest();
xhr.open(""GET"", ""starwars.html"");
```","The `open` method initializes a request, specifying the request type (GET) and URL (""starwars.html"") to connect to when it is sent."
5.3.9,"Multiple Choice: In the XMLHttpRequest object, which attribute contains the plain text version of the server response?
- (A) response
- (B) responseText
- (C) responseXML
- (D) status",(B) responseText
5.3.10,Short Answer: What is the reason for limiting Ajax requests to the same origin from which the JavaScript was downloaded?,"To enhance security by preventing cross-origin attacks, which could exploit user data by making requests to unauthorized domains."
5.4.1,"Multiple Choice: What is a third-party web API?
- (A) An API created by the same person as the web application
- (B) An API providing data from the user of the application
- (C) An API provided by an entity separate from the web application and user 
- (D) An API that integrates with local databases only",(C) An API provided by an entity separate from the web application and user
5.4.2,"Fill in the Blank: To use a third-party web API, a developer usually registers to obtain an _________.
- Answer: API key",API key
5.4.3,"Multiple Choice: Which of the following is a common data format returned by RESTful web APIs?
- (A) PDF
- (B) JSON
- (C) HTML
- (D) CSV",(B) JSON
5.4.4,Short Answer: Why do third parties require API keys for their web APIs?,"The API key helps identify who or what application is using the web API, and it helps limit the number of requests for maintaining performance and possibly charging for usage."
5.4.5,"Multiple Choice: Which protocol is often utilized by RESTful web APIs for data transfer?
- (A) FTP
- (B) HTTP
- (C) SMTP
- (D) IMAP",(B) HTTP
5.4.6,"Multiple Answer: Which of the following reasons are why third parties limit the number of API requests? (Select two)
- (A) To ensure server stability
- (B) To prevent data theft
- (C) To encourage more API usage
- (D) To charge fees for additional requests","(A) To ensure server stability, (D) To charge fees for additional requests"
5.4.7,"Fill in the Blank: In a CORS request, the web browser includes the ________ HTTP header to indicate the origin.

- Answer: Origin",Origin
5.4.8,"Multiple Choice: Which of the following HTTP request methods does JSONP support?
- (A) POST
- (B) PUT
- (C) DELETE
- (D) GET",(D) GET
5.4.9,Short Answer: What does the Access-Control-Allow-Origin header indicate in a CORS response?,The Access-Control-Allow-Origin header indicates which origins are permitted to access the resource.
5.4.10,"Code Snippet: What is the correct way to open a connection using XMLHttpRequest in JavaScript for a GET request to a weather API?
```javascript
let xhr = new XMLHttpRequest();
xhr.open(""GET"", url);
```

- Answer: `xhr.open(""GET"", url);`","`xhr.open(""GET"", url);`"
5.5.1,"Multiple Choice: What is an exception in a program execution?  
- (A) A syntax error that stops the code from being compiled  
- (B) A special case that improves program performance  
- (C) An error that disrupts the normal flow of program execution  
- (D) A comment left by the developer in the code",(C) An error that disrupts the normal flow of program execution
5.5.2,"Fill in the blank: The syntax to throw a user-defined exception in JavaScript is `throw ___________.`  
- ""expression""","""expression"""
5.5.3,"Multiple Choice: What is the primary purpose of a try-catch statement?  
- (A) To optimize loop execution  
- (B) To execute code only if no errors are present  
- (C) To catch and handle exceptions in the code  
- (D) To declare variables globally",(C) To catch and handle exceptions in the code
5.5.4,"Short Answer: In the given code snippet, what will be displayed in the console if the `findSum(nums, 3, 4)` call throws an exception and is handled by a try-catch block? Provide the output precisely.  
```javascript
catch(exception) {
  console.log(exception);
  console.log(""Done!"");
}
```  

- ""endlndex is too large.""  
  ""Done!""","""endlndex is too large."" ""Done!"""
5.5.5,"Multiple Choice: In JavaScript, which type of error is thrown when a variable or parameter is not the expected data type?  
- (A) RangeError  
- (B) SyntaxError  
- (C) TypeError  
- (D) ReferenceError",(C) TypeError
5.5.6,"Multiple Answer: In the function `findAverage()`, which conditions should throw exceptions?  
- [ ] Non-integer values in the scores array  
- [ ] An empty scores array  
- [ ] An array with more than 100 scores  
- [ ] Negative scores in the array",[ ] Non-integer values in the scores array [ ] An empty scores array  [ ] Negative scores in the array
5.5.7,"Fill in the blank: In a `try-catch-finally` construct, the code in the __________ block will execute regardless of whether an exception was thrown or not.  
- finally",finally
5.5.8,"Short Answer: What does the following code output when executed?  
```javascript
function test() {
  try {
    console.log(""try"");
    throw ""crash!!!"";
  } catch (exception) {
    console.log(""catch"");
  } finally {
    console.log(""finally"");
  }
  console.log(""after"");
}
test();
```  
- ""try""  
  ""catch""  
  ""finally""  
  ""after""","""try"" ""catch"" ""finally"" ""after"""
5.5.9,"Multiple Choice: Which Error constructor is used when a numeric variable or parameter is outside the valid range?  
- (A) TypeError  
- (B) SyntaxError  
- (C) RangeError  
- (D) ReferenceError",(C) RangeError
5.5.10,"Fill in the blank: In the function `caesarCipher(message, key)`, if the `key` is not an integer, a __________ error should be thrown.  
- TypeError",TypeError
6.1.1,"Multiple Choice: Which of the following technologies is NOT considered a client-side technology?
- (A) HTML
- (B) CSS
- (C) JavaScript
- (D) PHP",(D) PHP
6.1.2,Short Answer: What is a front-end developer proficient in?,"A front-end developer is proficient in client-side technologies like HTML, CSS, and JavaScript."
6.1.3,Fill in the Blank: A __________ developer is someone who has expertise in both client-side and server-side technologies and knows how they work together.,full-stack
6.1.4,"Multiple Choice: Which of the following is a factor to consider when choosing a web hosting company?
- (A) Uptime reliability
- (B) Source code readability
- (C) Type of HTML used
- (D) Variety of CSS frameworks",(A) Uptime reliability
6.1.5,"Multiple Answers: Which of the following are server-side technologies? Select all that apply.
- (A) ASP.NET
- (B) Python
- (C) React
- (D) Java",(A) ASP.NET; (B) Python; (D) Java
6.1.6,Fill in the Blank: A __________ is a web application framework written in Ruby and created by David Heinemeier Hansson in 2004.,Ruby on Rails
6.1.7,"Multiple Choice: What is the primary disadvantage of free web hosting services?
- (A) Unlimited bandwidth
- (B) Full control over server
- (C) Limited reliability
- (D) High security measures",(C) Limited reliability
6.1.8,Short Answer: What is the purpose of a CSS preprocessor?,A CSS preprocessor is a program that converts a CSS-like language into CSS to simplify the development of large CSS stylesheets.
6.1.9,"Multiple Choice: Which database is an example of a document database?
- (A) MySQL
- (B) MongoDB
- (C) HBase
- (D) Neo4j",(B) MongoDB
6.1.10,"Short Answer: What does SPA stand for, and give an example of an SPA.",SPA stands for Single Page Application; an example is Gmail.
6.2.1,"Multiple Choice: Which architecture allows Node.js to handle high loads effectively?
- (A) Multi-threaded architecture
- (B) Event-driven, non-blocking I/O architecture
- (C) Client-server architecture
- (D) MVC architecture","(B) Event-driven, non-blocking I/O architecture"
6.2.2,"Multiple Choice: Which of the following companies does NOT use Node.js?
- (A) Netflix
- (B) Walmart
- (C) Google
- (D) eBay",(C) Google
6.2.3,"Multiple Choice: What command would you use to start the Node.js interactive shell?
- (A) node start
- (B) node shell
- (C) node
- (D) node init",(C) node
6.2.4,"Multiple Choice: What does the command `node hello.js` do?
- (A) Compiles the hello.js file
- (B) Executes the hello.js file as a Node.js application
- (C) Opens hello.js in the Node.js editor
- (D) Deletes the hello.js file",(B) Executes the hello.js file as a Node.js application
6.2.5,"Fill in the blank: In a Node.js application, the __________ module is required to create a simple web server.
- Answer: http",http
6.2.6,"Multiple Choice: What is the purpose of the `response.end()` method in a Node.js web server?
- (A) To start the server
- (B) To handle new HTTP requests
- (C) To send the HTTP response back to the client
- (D) To print server logs",(C) To send the HTTP response back to the client
6.2.7,"Short Answer: How can a developer globally install the ""nodemon"" package using npm?",npm install nodemon --global
6.2.8,"Multiple Answers: Which npm commands are used for managing packages and dependencies in Node.js projects? Select all that apply.
- (A) npm install
- (B) npm start
- (C) npm update
- (D) npm run","(A) npm install, (C) npm update"
6.2.9,"Multiple Choice: What command generates a package.json file by asking the user a series of questions?
- (A) npm generate
- (B) npm init
- (C) npm create
- (D) npm start",(B) npm init
6.2.10,"Fill in the blank with the correct term: Semantic versioning follows the pattern __________ where ""major"", ""minor"", and ""patch"" represent different levels of updates.
- Answer: major.minor.patch",major.minor.patch
6.3.1,"Multiple Choice: What is the primary purpose of using Express in Node.js applications?
- (A) To compile JavaScript code
- (B) To create command-line interfaces
- (C) To create web servers with less code
- (D) To connect to SQL databases",(C) To create web servers with less code
6.3.2,"Fill in the blank: In order to install Express, the command used is _______.
- (A) npm install express",(A) npm install express
6.3.3,Short Answer: Which function is used to import the Express module in a Node.js application?,require()
6.3.4,"Multiple Choice: Which directory should static files like HTML and images be stored in for an Express application?
- (A) node_modules
- (B) config
- (C) public
- (D) views",(C) public
6.3.5,"Multiple Choice: Which method is used to make an Express server listen for incoming requests?
- (A) app.serve()
- (B) app.request()
- (C) app.listen()
- (D) app.connect()",(C) app.listen()
6.3.6,"Multiple Choice: What will the Express server return if a request is made to a non-existent file, like http://localhost:3000/bye.html?
- (A) The content of hello.html
- (B) A 404 status code
- (C) A blank page
- (D) A JSON error message",(B) A 404 status code
6.3.7,"Multiple Answers: What are the parameters typically provided to an Express route's callback function? Choose all that apply.
- (A) req
- (B) res
- (C) app
- (D) next","(A) req, (B) res"
6.3.8,"Fill in the blank: The middleware function used to log information about HTTP requests, as provided in the document, is implemented by _______.
- (A) morgan",(A) morgan
6.3.9,Short Answer: How is the middleware function 'logRequest' enabled in an Express application according to the document?,By calling app.use(logRequest);
6.3.10,"Multiple Choice: When using 'app.use()' without a path, which requests does the middleware apply to?
- (A) Only GET requests
- (B) Only POST requests
- (C) All requests
- (D) No requests",(C) All requests
6.4.1,"Multiple Choice: What object stores query string parameters in an Express application?
- (A) req.params
- (B) req.query
- (C) req.body
- (D) req.header",(B) req.query
6.4.2,"Multiple Choice: In the Express route `app.get(""/users/:username"", function(req, res) {...})`, how can you access the username parameter?
- (A) req.params.username
- (B) req.query.username
- (C) req.body.username
- (D) req.header.username",(A) req.params.username
6.4.3,Fill in the blank: The middleware function `express.urlencoded({ extended: false })` is used to parse __________ data in the HTTP request body.,URL-encoded
6.4.4,"Multiple Answer: Which of the following are correct uses of route parameters in Express? (Select all that apply)
- (A) `/product/:id` can be accessed through `req.params.id`.
- (B) `/category/:name` can be accessed through `req.query.name`.
- (C) `/order/:orderId/details` can be accessed through `req.params.orderId`.
- (D) `/user/:name/profile` can be accessed through `req.body.name`.",(A) /product/:id can be accessed through req.params.id. (C) /order/:orderId/details can be accessed through req.params.orderId.
6.4.5,"Short Answer: Given the URL `http://localhost:3000/weather/80015`, what JSON response does the server provide based on the following Express route middleware code?

```javascript
app.param(""zip"", function(req, res, next, zip) {
    if (zip === ""80015"") {
        req.forecast = { high: 95, low: 72 };
    }
    next();
});

app.get(""/weather/:zip"", function(req, res) {
    if (req.forecast) {
        res.json(req.forecast);
    } else {
        res.status(404).json({ error: ""Unknown ZIP code"" });
    }
});
```","{""high"": 95, ""low"": 72}"
6.4.6,"Fill in the blank: In a route definition like `app.get(""/city/:name"", function(req, res) {...})`, the parameterized part of the URL is defined using a _________.",colon (:)
6.4.7,"Multiple Choice: What is the Content-Type used when form data is URL-encoded in an Express application?
- (A) text/html
- (B) application/json
- (C) application/x-www-form-urlencoded
- (D) multipart/form-data",(C) application/x-www-form-urlencoded
6.4.8,"Multiple Choice: When an Express route uses parameter middleware, what function argument receives the parameter's value?
- (A) req
- (B) res
- (C) next
- (D) The fourth argument",(D) The fourth argument
6.4.9,"Multiple Answer: Which of the following statements are true regarding the `res.send()` method? (Select all that apply)
- (A) It can send HTML content as a response.
- (B) It automatically sets the Content-Type to text/plain.
- (C) It can send JSON if the response is a JavaScript object or array.
- (D) It finishes off the response.",(A) It can send HTML content as a response. (D) It finishes off the response.
6.4.10,"Short Answer: Consider the Express app route middleware below. What would be the console output for a URL path `/users/jblack`?

```javascript
app.param(""username"", function(req, res, next, username) {
    console.log(""URL param:"", username);
    if (username === ""jblack"") {
        req.user = { name: ""Jack Black"", username: username };
    } else {
        req.user = { name: ""Unknown"", username: username };
    }
    next();
});

app.get(""/users/:username"", function(req, res) {
    res.send(`<h1>Profile for ${req.user.name}</h1>`);
});
```",URL param: jblack
7.1.1,"Multiple Choice: What is jQuery primarily used for?
- (A) Sending emails
- (B) Manipulating server-side data
- (C) Simplifying HTML document traversing and manipulation
- (D) Building desktop applications",(C) Simplifying HTML document traversing and manipulation
7.1.2,Short Answer: What is the key difference between a JavaScript library and a framework?,"A library is a collection of functions for specific tasks, whereas a framework dictates the flow of the program."
7.1.3,"Multiple Choice: Which of the following jQuery tasks involves responding to mouse clicks and typing?
- (A) DOM Manipulation
- (B) Animation
- (C) User Interaction
- (D) Ajax",(C) User Interaction
7.1.4,Fill in the Blank: The <script> element's integrity and crossorigin attributes in a CDN jQuery link are used for ____ checking.,Subresource Integrity (SRI)
7.1.5,"Multiple Choice: Which line of jQuery code correctly adds the ""highlight"" class to all <p> elements?
- (A) $(""p:highlight"").addClass()
- (B) $("".highlight"").addClass(""p"")
- (C) $(""p"").addClass(""highlight"")
- (D) $(""#highlight"").addClass(""p"")","(C) $(""p"").addClass(""highlight"")"
7.1.6,"Multiple Answers: Which of the following are common tasks performed by jQuery? (Select all that apply)
- (A) DOM manipulation
- (B) Email processing
- (C) Animation
- (D) File system operations","(A) DOM manipulation, (C) Animation"
7.1.7,Short Answer: Write the jQuery code to ensure all odd-indexed table rows are hidden.,"$(""tr:odd"").hide();"
7.1.8,Fill in the Blank: jQuery CDN links often use a minified file version because it ____ faster.,downloads
7.1.9,"Multiple Choice: What is the purpose of the $() function in jQuery?
- (A) It is used to save files on the server.
- (B) It is used to write server-side logic.
- (C) It is used for selecting DOM elements.
- (D) It is used for encrypting JavaScript code.",(C) It is used for selecting DOM elements.
7.1.10,"Short Answer: What jQuery method would you use to remove the CSS class ""old-style"" from all elements with this class?","removeClass(""old-style"")"
7.3.1,"Multiple Choice: Which jQuery method allows you to register an event handler for one or more events?
- (A) addEventListener()
- (B) on()
- (C) bind()
- (D) attach()",(B) on()
7.3.2,"Multiple Choice: What event does jQuery's ready() method respond to?
- (A) When the document's stylesheets finish loading
- (B) When the document's DOM has been fully constructed
- (C) When the page's images have fully loaded
- (D) When the user interacts with the form",(B) When the document's DOM has been fully constructed
7.3.3,Short Answer: What is the jQuery method used to trigger a function when the user clicks an HTML element?,"The on() method is used with ""click"" specified as the event."
7.3.4,Fill in the Blank: The ________ event is triggered when the user releases a key from the keyboard.,keyup
7.3.5,"Multiple Answers: Which of the following are examples of mouse events supported by jQuery? (Select all that apply)
- (A) click
- (B) keypress
- (C) mousemove
- (D) blur","(A) click, (C) mousemove"
7.3.6,"Multiple Choice: What takes priority in jQuery, the shortcut method like click() or the on() method?
- (A) Shortcut methods like click()
- (B) on() method
- (C) Neither, they are equally prioritized
- (D) The order they are written in the code",(B) on() method
7.3.7,Short Answer: Describe what happens in JavaScript when the user clicks a button element with an associated click event handler.,The buttonClicked() function executes and shows an alert dialog box.
7.3.8,Fill in the Blank: jQuery's ________ method is used to register functions that run once the document is fully loaded and ready.,ready()
